0 0
0.01082 0.01
0.02172 0.02
0.0318 0.03
0.04258 0.04
0.05136 0.05
0.06044 0.06
0.0711 0.07
0.08172 0.08
0.09186 0.09
0.09948 0.1
0.11108 0.11
0.12144 0.12
0.13142 0.13
0.14036 0.14
0.14772 0.15
0.1628 0.16
0.17136 0.17
0.1807 0.18
0.18822 0.19
0.20536 0.2
0.20946 0.21
0.21816 0.22
0.22888 0.23
0.24288 0.24
0.25432 0.25
0.26512 0.26
0.26996 0.27
0.2766 0.28
0.2906 0.29
0.29802 0.3
0.30946 0.31
0.31834 0.32
0.33188 0.33
0.34218 0.34
0.35262 0.35
0.3599 0.36
0.36388 0.37
0.38228 0.38
0.39136 0.39
0.39778 0.4
0.41562 0.41
0.42316 0.42
0.4345 0.43
0.44198 0.44
0.4468 0.45
0.46532 0.46
0.47268 0.47
0.47876 0.48
0.49452 0.49
0.4974 0.5
0.50968 0.51
0.52412 0.52
0.52642 0.53
0.5433 0.54
0.55154 0.55
0.56196 0.56
0.57122 0.57
0.57356 0.58
0.59512 0.59
0.60644 0.6
0.60544 0.61
0.62318 0.62
0.62932 0.63
0.63738 0.64
0.64296 0.65
0.66112 0.66
0.67848 0.67
0.684 0.68
0.68882 0.69
0.70558 0.7
0.70666 0.71
0.718 0.72
0.73238 0.73
0.73914 0.74
0.74842 0.75
0.7614 0.76
0.77446 0.77
0.78438 0.78
0.79058 0.79
0.80548 0.8
0.81854 0.81
0.8289 0.82
0.83288 0.83
0.83934 0.84
0.84812 0.85
0.86412 0.86
0.86944 0.87
0.88376 0.88
0.88794 0.89
0.90128 0.9
0.91774 0.91
0.92066 0.92
0.93888 0.93
0.9461 0.94
0.94782 0.95
0.96416 0.96
0.97452 0.97
0.98082 0.98
1.00052 0.99
