0 0
0.01066 0.01
0.02194 0.02
0.0319 0.03
0.04056 0.04
0.05194 0.05
0.0616 0.06
0.07106 0.07
0.08254 0.08
0.09052 0.09
0.1019 0.1
0.10874 0.11
0.12288 0.12
0.12938 0.13
0.14184 0.14
0.15094 0.15
0.16258 0.16
0.1678 0.17
0.18134 0.18
0.1911 0.19
0.19924 0.2
0.21252 0.21
0.2211 0.22
0.23386 0.23
0.24378 0.24
0.2499 0.25
0.25846 0.26
0.27282 0.27
0.2812 0.28
0.29404 0.29
0.2981 0.3
0.31066 0.31
0.31668 0.32
0.32996 0.33
0.33766 0.34
0.35326 0.35
0.35926 0.36
0.36606 0.37
0.38026 0.38
0.38732 0.39
0.39894 0.4
0.41006 0.41
0.42174 0.42
0.43936 0.43
0.44444 0.44
0.44928 0.45
0.4654 0.46
0.4741 0.47
0.48156 0.48
0.4937 0.49
0.50446 0.5
0.5103 0.51
0.52208 0.52
0.53166 0.53
0.53576 0.54
0.55004 0.55
0.56178 0.56
0.56896 0.57
0.58216 0.58
0.59102 0.59
0.60588 0.6
0.60698 0.61
0.61368 0.62
0.63464 0.63
0.64744 0.64
0.6473 0.65
0.66528 0.66
0.66526 0.67
0.68436 0.68
0.6903 0.69
0.69978 0.7
0.7099 0.71
0.72262 0.72
0.7309 0.73
0.74796 0.74
0.75572 0.75
0.7524 0.76
0.76594 0.77
0.78236 0.78
0.78584 0.79
0.7986 0.8
0.80954 0.81
0.81978 0.82
0.82516 0.83
0.85226 0.84
0.8541 0.85
0.86838 0.86
0.8781 0.87
0.88642 0.88
0.89406 0.89
0.89908 0.9
0.90788 0.91
0.91952 0.92
0.93422 0.93
0.94206 0.94
0.9559 0.95
0.95976 0.96
0.97254 0.97
0.9829 0.98
0.98194 0.99
