1.5 0
1.70732 0.01
1.88879 0.02
1.95423 0.03
1.96252 0.04
2.18791 0.05
2.25714 0.06
2.6586 0.07
2.58856 0.08
2.62572 0.09
3.0159 0.1
2.87433 0.11
3.29867 0.12
3.41088 0.13
3.50917 0.14
3.72055 0.15
4.10582 0.16
4.43746 0.17
4.62016 0.18
4.83785 0.19
5.19074 0.2
5.45643 0.21
5.91533 0.22
6.53828 0.23
7.31782 0.24
7.20604 0.25
8.24745 0.26
8.69939 0.27
9.5695 0.28
10.2812 0.29
10.912 0.3
13.1365 0.31
12.7055 0.32
15.61 0.33
17.0457 0.34
24.1271 0.35
25.2086 0.36
27.046 0.37
51.6531 0.38
66.8431 0.39
63.6975 0.4
983.678 0.41
1792.82 0.42
2809.03 0.43
2723.93 0.44
3134.34 0.45
3861.15 0.46
4401.46 0.47
4876.01 0.48
5127.33 0.49
5943.6 0.5
5887.37 0.51
6358.56 0.52
6492.18 0.53
6944.73 0.54
7296.2 0.55
7801.49 0.56
7914.5 0.57
8608.5 0.58
8714.69 0.59
8891.35 0.6
8686.68 0.61
8908.17 0.62
9486.71 0.63
10012.8 0.64
10046.8 0.65
10042.2 0.66
10522.2 0.67
11010.9 0.68
11131.2 0.69
11037.2 0.7
11302.6 0.71
11637.9 0.72
11378.3 0.73
12174.2 0.74
12211.5 0.75
11975.4 0.76
12610.7 0.77
12756.8 0.78
12565.4 0.79
12957.2 0.8
12831.2 0.81
13062.6 0.82
13287.8 0.83
13689 0.84
13775.8 0.85
14056.5 0.86
13944.3 0.87
13870.3 0.88
14067.4 0.89
14447.1 0.9
14242.9 0.91
14380.7 0.92
14600.8 0.93
14759.9 0.94
14745.9 0.95
14969.4 0.96
15056.3 0.97
15289.1 0.98
15072.2 0.99
